Ion   Ju     Eu(eV)         Jl      El(eV)          lambda(AA)     A(s^-1)       gf  
UII   6.5   4.5122         5.5     1.412             3998.241      2.689E+07  1.046  
UII   3.5   3.6804         2.5     0.5835            4002.339      1.137E+07  0.2894 
UII   5.5   3.3808         5.5     0.2845            4003.195      7.512E+06  0.2152 
UII   6.5   3.3124         6.5     0.2169            4004.064      9.582E+06  0.3205 
UII   5.5   3.8707         6.5     0.7790            4009.169      1.421E+07  0.3499 
UII   3.5   3.7596         3.5     0.6697            4011.449      1.575E+07  0.3021 
UII   4.5   3.7938         4.5     0.7087            4017.711      2.659E+07  0.6395 
UII   6.5   3.1199         5.5     0.03584           4018.986      6.330E+06  0.2488 
UII   4.5   3.3632         5.5     0.2845            4026.023      8.879E+06  0.1787 
UII   4.5   3.1881         4.5     0.1134            4031.302      8.396E+06  0.2033 
UII   5.5   3.6212         5.5     0.5481            4033.425      1.073E+07  0.3122 
UII   4.5   4.0149         5.5     0.9421            4033.728      2.458E+07  0.4966 
UII   6.5   3.7168         7.5     0.6521            4044.412      1.925E+07  0.5746 
UII   4.5   3.0604         4.5     0.000             4050.041      2.006E+07  0.4902 
UII   7.5   3.7111         7.5     0.6521            4051.912      1.487E+07  0.5822 
